passenger_id,age_group,gender,nationality,residence_country,residence_region,income_band,spending_power_proxy,household_type,occupation_type,language,life_stage,segment_label,preferred_route_cluster,preferred_travel_context,preferred_product_category,repeat_propensity,price_sensitivity_level,source_assumption_id
psg_0040,18-24,Male,United Kingdom,Ireland,Western Europe,low,lower_mid,single,other,English,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.316,high,src_tourism_stats_01
psg_0041,65-74,Male,Sweden,France,Nordics,high,very_high,retired_couple,executive,German,retired,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.428,low,src_tourism_stats_01
psg_0042,45-54,Female,United Kingdom,Germany,London and South East,high,very_high,retired_couple,manager,English,retired,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.354,low,src_tourism_stats_01
psg_0043,35-44,Male,United Kingdom,United Kingdom,Western Europe,upper_mid,upper_mid,family_with_children,manager,French,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.44,medium,src_tourism_stats_01
psg_0044,35-44,Prefer not to say,Netherlands,Germany,Nordics,upper_mid,upper_mid,family_with_children,professional,English,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.48,medium,src_tourism_stats_01
psg_0045,45-54,Male,Netherlands,France,Western Europe,low,lower_mid,single,service_worker,English,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.26,high,src_tourism_stats_01
psg_0046,45-54,Female,Netherlands,United Kingdom,Nordics,upper_mid,very_high,couple,professional,English,couple_stage,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.397,low,src_tourism_stats_01
psg_0047,25-34,Female,United Kingdom,United Kingdom,London and South East,upper_mid,moderate,single,creative,German,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.32,high,src_tourism_stats_01
psg_0048,18-24,Male,Denmark,United Kingdom,Western Europe,upper_mid,moderate,couple,creative,Dutch,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.314,high,src_tourism_stats_01
psg_0049,18-24,Female,Germany,Germany,London and South East,mid,moderate,couple,student,English,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.38,high,src_tourism_stats_01
psg_0050,25-34,Prefer not to say,United Kingdom,United Kingdom,London and South East,mid,moderate,shared_household,early_career,French,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.299,high,src_tourism_stats_01
psg_0051,55-64,Female,Germany,France,Nordics,upper_mid,very_high,single,professional,English,working_adult,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.371,low,src_tourism_stats_01
psg_0052,45-54,Male,Germany,Germany,South East England,high,mid,couple,self_employed,German,couple_stage,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.412,medium,src_tourism_stats_01
psg_0053,65-74,Female,France,Netherlands,Western Europe,high,very_high,family_with_children,manager,French,family_builder,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.42,low,src_tourism_stats_01
psg_0054,25-34,Female,Netherlands,Germany,London and South East,lower_mid,moderate,shared_household,student,English,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.386,high,src_tourism_stats_01
psg_0055,45-54,Male,United Kingdom,United Kingdom,Scandinavia,mid,mid,couple,manager,German,couple_stage,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.443,medium,src_tourism_stats_01
psg_0056,35-44,Male,United Kingdom,United Kingdom,Western Europe,upper_mid,high,couple,professional,French,couple_stage,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.491,low,src_tourism_stats_01
psg_0057,45-54,Male,United Kingdom,United Kingdom,Western Europe,upper_mid,very_high,couple,professional,Dutch,couple_stage,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.342,low,src_tourism_stats_01
psg_0058,35-44,Male,Denmark,Netherlands,Northern England,mid,upper_mid,family_with_children,professional,English,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.392,medium,src_tourism_stats_01
psg_0059,55-64,Prefer not to say,Netherlands,Germany,South East England,mid,high,couple,other,Dutch,couple_stage,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.296,low,src_tourism_stats_01
psg_0060,25-34,Female,Sweden,France,Irish East Coast,upper_mid,mid,family_with_children,skilled_trade,English,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.378,medium,src_tourism_stats_01
psg_0061,35-44,Non-binary,United Kingdom,Netherlands,Western Europe,high,high,single,manager,French,working_adult,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.493,low,src_tourism_stats_01
psg_0062,45-54,Female,Netherlands,Netherlands,Irish East Coast,mid,lower_mid,single,service_worker,German,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.239,high,src_tourism_stats_01
psg_0063,25-34,Female,France,Netherlands,Northern England,mid,upper_mid,couple,teacher,English,couple_stage,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.472,medium,src_tourism_stats_01
psg_0064,45-54,Male,Netherlands,Sweden,South East England,upper_mid,mid,couple,other,Dutch,couple_stage,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.289,medium,src_tourism_stats_01
psg_0065,35-44,Male,Netherlands,United Kingdom,Greater London,upper_mid,upper_mid,family_with_children,other,French,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.449,medium,src_tourism_stats_01
psg_0066,18-24,Male,United Kingdom,United Kingdom,London and South East,high,moderate,shared_household,early_career,Dutch,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.41,high,src_tourism_stats_01
psg_0067,45-54,Female,Germany,Netherlands,Nordics,mid,very_high,couple,professional,Dutch,couple_stage,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.379,low,src_tourism_stats_01
psg_0068,18-24,Female,Germany,Sweden,London and South East,mid,moderate,single,other,German,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.356,high,src_tourism_stats_01
psg_0069,65-74,Female,Denmark,Netherlands,Western Europe,mid,high,retired_couple,manager,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.263,low,src_tourism_stats_01
psg_0070,45-54,Male,Germany,United Kingdom,Northern France,high,mid,family_with_children,skilled_trade,English,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.477,medium,src_tourism_stats_01
psg_0071,25-34,Female,France,France,London and South East,high,high,shared_household,professional,English,early_career,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.54,low,src_tourism_stats_01
psg_0072,65-74,Male,United Kingdom,France,Channel Islands,upper_mid,high,couple,retired,Danish,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.301,low,src_tourism_stats_01
psg_0073,35-44,Female,Netherlands,France,French North,lower_mid,lower_mid,shared_household,service_worker,English,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.29,high,src_tourism_stats_01
psg_0074,35-44,Female,France,United Kingdom,South East England,upper_mid,mid,couple,professional,English,couple_stage,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.364,medium,src_tourism_stats_01
psg_0075,25-34,Male,United Kingdom,Netherlands,Nordic Capitals,high,high,single,manager,Dutch,early_career,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.558,low,src_tourism_stats_01
psg_0076,55-64,Male,Netherlands,France,Nordics,high,high,couple,retired,German,couple_stage,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.289,low,src_tourism_stats_01
psg_0077,35-44,Male,Sweden,Netherlands,Nordics,high,very_high,family_with_children,executive,French,family_builder,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.366,low,src_tourism_stats_01
psg_0078,45-54,Male,Germany,United Kingdom,South East England,upper_mid,mid,shared_household,other,German,working_adult,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.412,medium,src_tourism_stats_01
psg_0079,25-34,Non-binary,Netherlands,France,Nordics,lower_mid,moderate,couple,early_career,English,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.307,high,src_tourism_stats_01
psg_0080,65-74,Male,United Kingdom,United Kingdom,Nordics,high,high,couple,other,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.295,low,src_tourism_stats_01
psg_0081,35-44,Female,Germany,Sweden,Western Europe,mid,upper_mid,family_with_children,professional,French,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.467,medium,src_tourism_stats_01
psg_0082,35-44,Non-binary,United Kingdom,France,Northern France,mid,mid,couple,skilled_trade,Dutch,couple_stage,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.395,medium,src_tourism_stats_01
psg_0083,45-54,Female,France,Netherlands,Nordics,mid,mid,couple,self_employed,Swedish,couple_stage,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.314,medium,src_tourism_stats_01
psg_0084,35-44,Female,Netherlands,Netherlands,Western Europe,mid,lower_mid,couple,other,German,couple_stage,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.328,high,src_tourism_stats_01
psg_0085,35-44,Male,France,Netherlands,London and South East,upper_mid,high,shared_household,professional,English,working_adult,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.505,low,src_tourism_stats_01
psg_0086,35-44,Prefer not to say,Germany,United Kingdom,French North,upper_mid,mid,single,manager,English,working_adult,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.294,medium,src_tourism_stats_01
psg_0087,25-34,Prefer not to say,Germany,Netherlands,German North,high,mid,single,professional,German,early_career,Pet-Friendly Travelers,channel_crossing_short,family_holiday,pet_travel,0.282,medium,src_tourism_stats_01
psg_0088,65-74,Male,Germany,Netherlands,Nordics,mid,high,couple,retired,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.346,low,src_tourism_stats_01
psg_0089,55-64,Female,United Kingdom,Germany,German North,upper_mid,high,couple,professional,Dutch,couple_stage,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.477,low,src_tourism_stats_01
psg_0090,55-64,Prefer not to say,United Kingdom,Netherlands,Western Europe,high,high,single,retired,German,working_adult,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.259,low,src_tourism_stats_01
psg_0091,25-34,Male,France,Sweden,South East England,mid,mid,family_with_children,other,German,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.372,medium,src_tourism_stats_01
psg_0092,45-54,Prefer not to say,Netherlands,Netherlands,Western Europe,upper_mid,very_high,family_with_children,professional,Dutch,family_builder,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.397,low,src_tourism_stats_01
psg_0093,25-34,Male,United Kingdom,United Kingdom,Western Europe,mid,high,shared_household,professional,English,early_career,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.544,low,src_tourism_stats_01
psg_0094,25-34,Prefer not to say,United Kingdom,Germany,South East England,mid,mid,family_with_children,professional,French,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.363,medium,src_tourism_stats_01
psg_0095,25-34,Female,United Kingdom,United Kingdom,London and South East,upper_mid,moderate,couple,creative,English,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.383,high,src_tourism_stats_01
psg_0096,55-64,Male,Denmark,United Kingdom,Nordics,mid,high,couple,retired,Danish,couple_stage,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.247,low,src_tourism_stats_01
psg_0097,65-74,Male,Netherlands,Denmark,South East England,upper_mid,high,retired_couple,retired,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.316,low,src_tourism_stats_01
psg_0098,35-44,Non-binary,France,France,Western Europe,mid,high,shared_household,consultant,German,working_adult,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.532,low,src_tourism_stats_01
psg_0099,45-54,Male,United Kingdom,Netherlands,Western Europe,high,very_high,couple,professional,Dutch,couple_stage,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.365,low,src_tourism_stats_01
psg_0100,45-54,Female,Germany,United Kingdom,Greater London,upper_mid,upper_mid,couple,manager,French,couple_stage,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.457,medium,src_tourism_stats_01
psg_0101,25-34,Male,Ireland,Germany,Irish East Coast,high,mid,shared_household,skilled_trade,English,early_career,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.429,medium,src_tourism_stats_01
psg_0102,35-44,Female,United Kingdom,Sweden,Northern England,upper_mid,upper_mid,family_with_children,other,Swedish,family_builder,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.507,medium,src_tourism_stats_01
psg_0103,35-44,Male,United Kingdom,Ireland,German North,low,lower_mid,single,early_career,English,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.261,high,src_tourism_stats_01
psg_0104,25-34,Male,Netherlands,United Kingdom,Western Europe,lower_mid,moderate,couple,early_career,English,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.331,high,src_tourism_stats_01
psg_0105,45-54,Male,France,United Kingdom,South East England,mid,mid,couple,skilled_trade,English,couple_stage,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.439,medium,src_tourism_stats_01
psg_0106,65-74,Female,Germany,United Kingdom,Western Europe,upper_mid,high,retired_couple,retired,German,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.245,low,src_tourism_stats_01
psg_0107,45-54,Female,France,United Kingdom,South East England,mid,mid,family_with_children,professional,German,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.381,medium,src_tourism_stats_01
psg_0108,45-54,Male,Germany,Germany,South East England,high,mid,family_with_children,professional,Dutch,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.463,medium,src_tourism_stats_01
psg_0109,35-44,Male,France,United Kingdom,London and South East,upper_mid,high,shared_household,manager,Dutch,working_adult,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.55,low,src_tourism_stats_01
psg_0110,25-34,Female,Germany,Netherlands,London and South East,mid,moderate,single,early_career,English,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.351,high,src_tourism_stats_01
psg_0111,25-34,Prefer not to say,United Kingdom,France,Nordics,upper_mid,moderate,single,student,English,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.362,high,src_tourism_stats_01
psg_0112,55-64,Female,Germany,Netherlands,London and South East,high,very_high,couple,consultant,German,couple_stage,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.396,low,src_tourism_stats_01
psg_0113,45-54,Male,United Kingdom,United Kingdom,Western Europe,upper_mid,high,single,professional,French,working_adult,Business / Commuter Travelers,channel_crossing_short,business,flex_ticket,0.477,low,src_tourism_stats_01
psg_0114,55-64,Prefer not to say,United Kingdom,France,Nordics,high,high,couple,retired,English,couple_stage,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.335,low,src_tourism_stats_01
psg_0115,25-34,Non-binary,Netherlands,United Kingdom,Western Europe,low,lower_mid,single,student,Other,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.261,high,src_tourism_stats_01
psg_0116,45-54,Female,United Kingdom,Netherlands,Western Europe,high,very_high,couple,manager,English,couple_stage,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.369,low,src_tourism_stats_01
psg_0117,45-54,Male,Ireland,United Kingdom,South East England,upper_mid,mid,family_with_children,self_employed,French,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.469,medium,src_tourism_stats_01
psg_0118,25-34,Male,United Kingdom,United Kingdom,French North,lower_mid,lower_mid,single,early_career,Other,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.257,high,src_tourism_stats_01
psg_0119,45-54,Non-binary,Ireland,Germany,German North,upper_mid,mid,couple,skilled_trade,French,couple_stage,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.403,medium,src_tourism_stats_01
psg_0120,25-34,Female,Sweden,France,South East England,mid,mid,family_with_children,self_employed,English,family_builder,Car-based Cross-border Travelers,channel_crossing_short,transport_alternative,vehicle_crossing,0.453,medium,src_tourism_stats_01
psg_0121,35-44,Female,United Kingdom,Netherlands,Regional UK,lower_mid,lower_mid,single,other,Dutch,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.317,high,src_tourism_stats_01
psg_0122,35-44,Male,Germany,United Kingdom,Western Europe,mid,upper_mid,couple,manager,French,couple_stage,Family Holiday Travelers,channel_crossing_short,family_holiday,family_package,0.427,medium,src_tourism_stats_01
psg_0123,25-34,Non-binary,United Kingdom,Ireland,French North,lower_mid,lower_mid,single,service_worker,French,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.336,high,src_tourism_stats_01
psg_0124,35-44,Female,United Kingdom,Netherlands,German North,lower_mid,lower_mid,single,other,Other,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.254,high,src_tourism_stats_01
psg_0125,45-54,Prefer not to say,United Kingdom,Netherlands,Scandinavia,upper_mid,very_high,couple,manager,English,couple_stage,High-value Comfort Seekers,north_sea_overnight,weekend_getaway,cabin,0.326,low,src_tourism_stats_01
psg_0126,55-64,Prefer not to say,United Kingdom,United Kingdom,Channel Islands,mid,high,retired_couple,other,English,retired,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.274,low,src_tourism_stats_01
psg_0127,35-44,Female,Netherlands,France,Regional UK,low,lower_mid,single,other,French,working_adult,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.307,high,src_tourism_stats_01
psg_0128,55-64,Female,United Kingdom,United Kingdom,Western Europe,high,high,couple,retired,Danish,couple_stage,Senior Mini-cruise Travelers,north_sea_overnight,mini_cruise_leisure,mini_cruise,0.312,low,src_tourism_stats_01
psg_0129,25-34,Female,United Kingdom,Netherlands,Western Europe,lower_mid,moderate,single,creative,English,early_career,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.407,high,src_tourism_stats_01
psg_0130,25-34,Male,Denmark,Germany,London and South East,mid,moderate,couple,other,English,couple_stage,Young Leisure Travelers,channel_crossing_short,weekend_getaway,mini_cruise,0.292,high,src_tourism_stats_01
psg_0131,25-34,Male,Netherlands,Netherlands,Irish East Coast,lower_mid,lower_mid,single,early_career,Other,early_career,Price-sensitive Short-break Travelers,channel_crossing_short,shopping_trip,seat,0.241,high,src_tourism_stats_01
