response_id,synthetic_data_notice,raw_defect_type,age_band,gender,residence_region,party_composition,household_income_band,accessibility_needs,route_region,route_corridor,travel_type,direction,trip_purpose,vehicle,sailing_duration_band,accommodation,booking_channel,travel_frequency,completion_seconds,disruption_experienced,mot_price_value,mot_convenience,mot_car_access,mot_comfort_break,mot_scenery,mot_sustainability,mot_visiting_family,mot_business_flexibility,sat_booking,sat_terminal,sat_boarding,sat_cabin_seating,sat_food,sat_cleanliness,sat_staff,sat_wifi,sat_punctuality,sat_value,overall_satisfaction,nps_band,return_intent,recommend_intent,competitor_likelihood,service_recovery_evaluation,raw_response_id,raw_synthetic_data_notice,raw_raw_defect_type,raw_age_band,raw_gender,raw_residence_region,raw_party_composition,raw_household_income_band,raw_accessibility_needs,raw_route_region,raw_route_corridor,raw_travel_type,raw_direction,raw_trip_purpose,raw_vehicle,raw_sailing_duration_band,raw_accommodation,raw_booking_channel,raw_travel_frequency,raw_completion_seconds,raw_disruption_experienced,raw_mot_price_value,raw_mot_convenience,raw_mot_car_access,raw_mot_comfort_break,raw_mot_scenery,raw_mot_sustainability,raw_mot_visiting_family,raw_mot_business_flexibility,raw_sat_booking,raw_sat_terminal,raw_sat_boarding,raw_sat_cabin_seating,raw_sat_food,raw_sat_cleanliness,raw_sat_staff,raw_sat_wifi,raw_sat_punctuality,raw_sat_value,raw_overall_satisfaction,raw_nps_band,raw_return_intent,raw_recommend_intent,raw_competitor_likelihood,raw_service_recovery_evaluation,motivation_summary,satisfaction_summary,quality_flags,quality_status,rag_included
DFDS-00011,Synthetic simulated survey response - not real passenger data,,45-54,Man,Lithuania,Couple,Upper-middle,None,Baltic,Kiel-Klaipeda,Motorcycle,Outbound,Leisure,Motorcycle,Long overnight (8+ hours),Premium cabin,Travel agent,2-3 times a year,645,No,4,4,5,4,3,4,1,3,5,3,4,4,5,5,5,5,3,3,4,Promoter (9-10),4,3,3,Not applicable,DFDS-00011,Synthetic simulated survey response - not real passenger data,,45-54,Man,Lithuania,Couple,Upper-middle,None,Baltic,Kiel-Klaipeda,Motorcycle,Outbound,Leisure,Motorcycle,Long overnight (8+ hours),Premium cabin,Travel agent,2-3 times a year,645,No,4,4,5,4,3,4,1,3,5,3,4,4,5,5,5,5,3,3,4,Promoter (9-10),4,3,3,Not applicable,Vehicle access,4.2,,usable,true
DFDS-00012,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Netherlands,Business colleagues,Higher,None,North Sea,IJmuiden-Newcastle,Freight driver,Outbound,Freight work,Van / freight vehicle,Long overnight (8+ hours),Private cabin,Corporate booking,First time,308,No,5,5,5,5,4,2,3,4,3,3,5,5,5,4,4,3,4,4,4,Promoter (9-10),3,3,3,Not applicable,DFDS-00012,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Netherlands,Business colleagues,Higher,None,North Sea,IJmuiden-Newcastle,Freight driver,Outbound,Freight work,Van / freight vehicle,Long overnight (8+ hours),Private cabin,Corporate booking,First time,308,No,5,5,5,5,4,2,3,4,3,3,5,5,5,4,4,3,4,4,4,Promoter (9-10),3,3,3,Not applicable,Price and value; Convenience; Vehicle access; Comfort and a break from driving,4.0,,usable,true
DFDS-00013,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Netherlands,Family with children,Prefer not to say,None,North Sea,IJmuiden-Newcastle,Foot passenger,Outbound,Holiday transit,None,Long overnight (8+ hours),Private cabin,Travel agent,2-3 times a year,740,No,2,3,2,3,3,3,3,1,4,4,3,3,5,5,3,3,3,4,4,Promoter (9-10),5,4,1,Not applicable,DFDS-00013,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Netherlands,Family with children,Prefer not to say,None,North Sea,IJmuiden-Newcastle,Foot passenger,Outbound,Holiday transit,None,Long overnight (8+ hours),Private cabin,Travel agent,2-3 times a year,740,No,2,3,2,3,3,3,3,1,4,4,3,3,5,5,3,3,3,4,4,Promoter (9-10),5,4,1,Not applicable,No strong stated motivation,3.7,,usable,true
DFDS-00014,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,United Kingdom,Business colleagues,Prefer not to say,None,English Channel,Dover-Calais,Foot passenger,Return,Business,None,Short (under 3 hours),Reclining seat,Phone,First time,387,No,4,4,2,3,4,4,3,5,4,2,2,2,3,3,2,3,3,2,2,Detractor (0-6),1,3,4,Not applicable,DFDS-00014,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,United Kingdom,Business colleagues,Prefer not to say,None,English Channel,Dover-Calais,Foot passenger,Return,Business,None,Short (under 3 hours),Reclining seat,Phone,First time,387,No,4,4,2,3,4,4,3,5,4,2,2,2,3,3,2,3,3,2,2,Detractor (0-6),1,3,4,Not applicable,Business flexibility,2.6,,usable,true
DFDS-00015,Synthetic simulated survey response - not real passenger data,,18-24,Woman,United Kingdom,Business colleagues,Higher,Other assistance,English Channel,Dover-Calais,Car passenger,Outbound,Business,Car,Short (under 3 hours),Not applicable,Phone,2-3 times a year,426,No,2,3,4,3,2,4,1,5,5,4,4,5,5,5,5,5,4,3,5,Promoter (9-10),4,5,1,Not applicable,DFDS-00015,Synthetic simulated survey response - not real passenger data,,18-24,Woman,United Kingdom,Business colleagues,Higher,Other assistance,English Channel,Dover-Calais,Car passenger,Outbound,Business,Car,Short (under 3 hours),Not applicable,Phone,2-3 times a year,426,No,2,3,4,3,2,4,1,5,5,4,4,5,5,5,5,5,4,3,5,Promoter (9-10),4,5,1,Not applicable,Business flexibility,4.5,,usable,true
DFDS-00016,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Netherlands,Couple,Lower,Hearing or vision support,North Sea,Harwich-Hook of Holland,Motorcycle,Outbound,Holiday transit,Motorcycle,Overnight (6-8 hours),Premium cabin,Travel agent,Once a year,318,No,3,4,5,5,2,2,3,1,2,2,4,3,4,4,3,4,4,4,2,Detractor (0-6),3,2,5,Not applicable,DFDS-00016,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Netherlands,Couple,Lower,Hearing or vision support,North Sea,Harwich-Hook of Holland,Motorcycle,Outbound,Holiday transit,Motorcycle,Overnight (6-8 hours),Premium cabin,Travel agent,Once a year,318,No,3,4,5,5,2,2,3,1,2,2,4,3,4,4,3,4,4,4,2,Detractor (0-6),3,2,5,Not applicable,Vehicle access; Comfort and a break from driving,3.4,,usable,true
DFDS-00017,Synthetic simulated survey response - not real passenger data,,55-64,Non-binary,Lithuania,Solo,Lower,None,Baltic,Karlshamn-Klaipeda,Motorcycle,Outbound,Holiday transit,Motorcycle,Overnight (6-8 hours),Reclining seat,Phone,First time,777,No,4,4,5,5,4,2,1,3,4,4,2,2,2,4,2,4,4,3,4,Promoter (9-10),5,4,1,Not applicable,DFDS-00017,Synthetic simulated survey response - not real passenger data,,55-64,Non-binary,Lithuania,Solo,Lower,None,Baltic,Karlshamn-Klaipeda,Motorcycle,Outbound,Holiday transit,Motorcycle,Overnight (6-8 hours),Reclining seat,Phone,First time,777,No,4,4,5,5,4,2,1,3,4,4,2,2,2,4,2,4,4,3,4,Promoter (9-10),5,4,1,Not applicable,Vehicle access; Comfort and a break from driving,3.1,,usable,true
DFDS-00018,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,Denmark,Friends,Middle,Hearing or vision support,Norway coastal / overnight,Copenhagen-Oslo,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Private cabin,DFDS website,Monthly or more,643,Yes,3,5,4,3,5,2,3,1,2,3,1,3,1,1,2,3,1,2,1,Detractor (0-6),1,1,5,3,DFDS-00018,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,Denmark,Friends,Middle,Hearing or vision support,Norway coastal / overnight,Copenhagen-Oslo,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Private cabin,DFDS website,Monthly or more,643,Yes,3,5,4,3,5,2,3,1,2,3,1,3,1,1,2,3,1,2,1,Detractor (0-6),1,1,5,3,Convenience; Scenery and the crossing,1.9,,usable,true
DFDS-00019,Synthetic simulated survey response - not real passenger data,,35-44,Non-binary,Germany,Solo,Higher,Other assistance,North Sea,IJmuiden-Newcastle,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Premium cabin,DFDS website,Once a year,437,No,4,3,4,4,4,4,1,2,4,4,5,5,5,4,4,5,3,3,3,Passive (7-8),2,3,2,Not applicable,DFDS-00019,Synthetic simulated survey response - not real passenger data,,35-44,Non-binary,Germany,Solo,Higher,Other assistance,North Sea,IJmuiden-Newcastle,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Premium cabin,DFDS website,Once a year,437,No,4,3,4,4,4,4,1,2,4,4,5,5,5,4,4,5,3,3,3,Passive (7-8),2,3,2,Not applicable,No strong stated motivation,4.2,,usable,true
DFDS-00020,Synthetic simulated survey response - not real passenger data,,55-64,Woman,United Kingdom,Friends,Higher,Other assistance,North Sea,IJmuiden-Newcastle,Car passenger,Return,Visiting friends/family,Car,Long overnight (8+ hours),Premium cabin,DFDS website,Once a year,386,No,2,5,4,3,3,2,5,1,4,5,5,5,4,5,5,5,5,4,4,Promoter (9-10),5,3,2,Not applicable,DFDS-00020,Synthetic simulated survey response - not real passenger data,,55-64,Woman,United Kingdom,Friends,Higher,Other assistance,North Sea,IJmuiden-Newcastle,Car passenger,Return,Visiting friends/family,Car,Long overnight (8+ hours),Premium cabin,DFDS website,Once a year,386,No,2,5,4,3,3,2,5,1,4,5,5,5,4,5,5,5,5,4,4,Promoter (9-10),5,3,2,Not applicable,Convenience; Visiting family or friends,4.7,,usable,true
DFDS-00021,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,France,Solo,Middle,None,English Channel,Dover-Dunkirk,Motorcycle,Return,Visiting friends/family,Motorcycle,Short (under 3 hours),Reclining seat,Travel agent,2-3 times a year,844,No,4,3,5,2,4,2,4,1,4,4,4,5,5,4,4,4,4,2,3,Passive (7-8),4,3,3,Not applicable,DFDS-00021,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,France,Solo,Middle,None,English Channel,Dover-Dunkirk,Motorcycle,Return,Visiting friends/family,Motorcycle,Short (under 3 hours),Reclining seat,Travel agent,2-3 times a year,844,No,4,3,5,2,4,2,4,1,4,4,4,5,5,4,4,4,4,2,3,Passive (7-8),4,3,3,Not applicable,Vehicle access,4.0,,usable,true
DFDS-00022,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Return,Visiting friends/family,None,Long overnight (8+ hours),Reclining seat,Travel agent,2-3 times a year,639,No,5,3,2,5,4,4,4,2,3,5,3,4,4,3,4,3,3,4,5,Promoter (9-10),5,5,1,Not applicable,DFDS-00022,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Return,Visiting friends/family,None,Long overnight (8+ hours),Reclining seat,Travel agent,2-3 times a year,639,No,5,3,2,5,4,4,4,2,3,5,3,4,4,3,4,3,3,4,5,Promoter (9-10),5,5,1,Not applicable,Price and value; Comfort and a break from driving,3.6,,usable,true
DFDS-00023,Synthetic simulated survey response - not real passenger data,,65+,Woman,France,Solo,Upper-middle,None,English Channel,Newhaven-Dieppe,Car passenger,Return,Leisure,Car,Medium (3-6 hours),Not applicable,Travel agent,Once a year,711,Yes,2,5,4,4,3,2,1,2,4,4,4,2,2,2,4,4,1,1,2,Detractor (0-6),1,3,3,4,DFDS-00023,Synthetic simulated survey response - not real passenger data,,65+,Woman,France,Solo,Upper-middle,None,English Channel,Newhaven-Dieppe,Car passenger,Return,Leisure,Car,Medium (3-6 hours),Not applicable,Travel agent,Once a year,711,Yes,2,5,4,4,3,2,1,2,4,4,4,2,2,2,4,4,1,1,2,Detractor (0-6),1,3,3,4,Convenience,2.8,,usable,true
DFDS-00024,Synthetic simulated survey response - not real passenger data,,55-64,Woman,Denmark,Business colleagues,Upper-middle,Other assistance,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Return,Business,Motorcycle,Long overnight (8+ hours),Reclining seat,DFDS app,Once a year,853,No,5,4,5,3,5,3,1,4,3,3,3,5,5,4,4,4,5,5,3,Passive (7-8),2,3,3,Not applicable,DFDS-00024,Synthetic simulated survey response - not real passenger data,,55-64,Woman,Denmark,Business colleagues,Upper-middle,Other assistance,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Return,Business,Motorcycle,Long overnight (8+ hours),Reclining seat,DFDS app,Once a year,853,No,5,4,5,3,5,3,1,4,3,3,3,5,5,4,4,4,5,5,3,Passive (7-8),2,3,3,Not applicable,Price and value; Vehicle access; Scenery and the crossing,4.1,,usable,true
DFDS-00025,Synthetic simulated survey response - not real passenger data,,18-24,Man,Denmark,Business colleagues,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Outbound,Business,Motorcycle,Long overnight (8+ hours),Private cabin,DFDS app,First time,506,No,2,3,4,4,3,2,1,5,4,5,3,5,4,3,3,3,3,2,3,Passive (7-8),2,2,4,Not applicable,DFDS-00025,Synthetic simulated survey response - not real passenger data,,18-24,Man,Denmark,Business colleagues,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Outbound,Business,Motorcycle,Long overnight (8+ hours),Private cabin,DFDS app,First time,506,No,2,3,4,4,3,2,1,5,4,5,3,5,4,3,3,3,3,2,3,Passive (7-8),2,2,4,Not applicable,Business flexibility,3.5,,usable,true
DFDS-00026,Synthetic simulated survey response - not real passenger data,,35-44,Man,Belgium,Business colleagues,Prefer not to say,Mobility assistance,English Channel,Dover-Dunkirk,Foot passenger,Return,Business,None,Short (under 3 hours),Standard seat,Phone,Monthly or more,569,No,5,4,1,3,4,4,3,4,3,3,3,3,4,2,3,3,3,3,4,Promoter (9-10),3,5,1,Not applicable,DFDS-00026,Synthetic simulated survey response - not real passenger data,,35-44,Man,Belgium,Business colleagues,Prefer not to say,Mobility assistance,English Channel,Dover-Dunkirk,Foot passenger,Return,Business,None,Short (under 3 hours),Standard seat,Phone,Monthly or more,569,No,5,4,1,3,4,4,3,4,3,3,3,3,4,2,3,3,3,3,4,Promoter (9-10),3,5,1,Not applicable,Price and value,3.0,,usable,true
DFDS-00027,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Germany,Family with children,Middle,Hearing or vision support,English Channel,Dover-Calais,Foot passenger,Outbound,Holiday transit,None,Short (under 3 hours),Standard seat,Phone,Monthly or more,317,No,4,5,1,4,3,4,2,3,2,3,4,3,3,2,3,3,4,2,3,Passive (7-8),3,3,3,Not applicable,DFDS-00027,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Germany,Family with children,Middle,Hearing or vision support,English Channel,Dover-Calais,Foot passenger,Outbound,Holiday transit,None,Short (under 3 hours),Standard seat,Phone,Monthly or more,317,No,4,5,1,4,3,4,2,3,2,3,4,3,3,2,3,3,4,2,3,Passive (7-8),3,3,3,Not applicable,Convenience,2.9,,usable,true
DFDS-00028,Synthetic simulated survey response - not real passenger data,,35-44,Man,Sweden,Friends,Middle,Mobility assistance,Baltic,Kiel-Klaipeda,Car passenger,Outbound,Visiting friends/family,Car,Long overnight (8+ hours),Private cabin,DFDS app,First time,605,No,4,5,5,3,3,3,5,2,4,3,3,3,4,5,4,3,4,2,4,Promoter (9-10),3,5,3,Not applicable,DFDS-00028,Synthetic simulated survey response - not real passenger data,,35-44,Man,Sweden,Friends,Middle,Mobility assistance,Baltic,Kiel-Klaipeda,Car passenger,Outbound,Visiting friends/family,Car,Long overnight (8+ hours),Private cabin,DFDS app,First time,605,No,4,5,5,3,3,3,5,2,4,3,3,3,4,5,4,3,4,2,4,Promoter (9-10),3,5,3,Not applicable,Convenience; Vehicle access; Visiting family or friends,3.5,,usable,true
DFDS-00029,Synthetic simulated survey response - not real passenger data,,65+,Man,France,Friends,Middle,Hearing or vision support,English Channel,Dover-Calais,Car passenger,Outbound,Leisure,Car,Short (under 3 hours),Standard seat,DFDS app,Monthly or more,505,No,4,4,4,2,4,3,3,2,3,4,5,3,3,3,4,3,4,3,3,Passive (7-8),3,2,2,Not applicable,DFDS-00029,Synthetic simulated survey response - not real passenger data,,65+,Man,France,Friends,Middle,Hearing or vision support,English Channel,Dover-Calais,Car passenger,Outbound,Leisure,Car,Short (under 3 hours),Standard seat,DFDS app,Monthly or more,505,No,4,4,4,2,4,3,3,2,3,4,5,3,3,3,4,3,4,3,3,Passive (7-8),3,2,2,Not applicable,No strong stated motivation,3.5,,usable,true
DFDS-00030,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Denmark,Solo,Lower,Hearing or vision support,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Outbound,Leisure,Motorcycle,Long overnight (8+ hours),Premium cabin,DFDS website,2-3 times a year,302,No,5,3,5,5,5,4,3,2,5,5,5,5,5,4,4,5,5,5,5,Promoter (9-10),4,5,1,Not applicable,DFDS-00030,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,Denmark,Solo,Lower,Hearing or vision support,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Outbound,Leisure,Motorcycle,Long overnight (8+ hours),Premium cabin,DFDS website,2-3 times a year,302,No,5,3,5,5,5,4,3,2,5,5,5,5,5,4,4,5,5,5,5,Promoter (9-10),4,5,1,Not applicable,Price and value; Vehicle access; Comfort and a break from driving; Scenery and the crossing,4.8,,usable,true
DFDS-00031,Synthetic simulated survey response - not real passenger data,,35-44,Non-binary,Sweden,Couple,Middle,None,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Return,Leisure,Motorcycle,Long overnight (8+ hours),Reclining seat,DFDS app,First time,501,Yes,5,3,5,4,3,3,3,3,4,4,5,5,5,5,5,3,4,4,4,Promoter (9-10),5,3,3,5,DFDS-00031,Synthetic simulated survey response - not real passenger data,,35-44,Non-binary,Sweden,Couple,Middle,None,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Return,Leisure,Motorcycle,Long overnight (8+ hours),Reclining seat,DFDS app,First time,501,Yes,5,3,5,4,3,3,3,3,4,4,5,5,5,5,5,3,4,4,4,Promoter (9-10),5,3,3,5,Price and value; Vehicle access,4.4,,usable,true
